,ds,y
0,2016-10-05,184.87
1,2016-10-06,74.59
2,2016-10-09,451.93
3,2017-01-08,84.59
4,2017-01-10,152.75
5,2017-01-13,85.6
6,2017-01-15,64.46
7,2017-01-17,60.64
8,2017-01-18,84.59
9,2017-01-19,331.45
10,2017-01-20,138.35
11,2017-01-21,723.15
12,2017-01-22,187.82
13,2017-01-23,58.02
14,2017-01-24,127.61000000000001
15,2017-01-25,223.7
16,2017-01-26,353.87
17,2017-01-27,140.91
18,2017-01-28,154.8
19,2017-01-29,323.79
20,2017-01-30,751.99
21,2017-01-31,543.91
22,2017-02-01,177.87
23,2017-02-02,124.53
24,2017-02-03,207.92000000000002
25,2017-02-04,357.21
26,2017-02-05,1360.23
27,2017-02-06,1199.12
28,2017-02-07,714.31
29,2017-02-08,495.40999999999997
30,2017-02-09,927.5500000000001
31,2017-02-10,758.62
32,2017-02-11,149.78
33,2017-02-12,768.34
34,2017-02-13,662.33
35,2017-02-14,1780.5299999999997
36,2017-02-15,630.31
37,2017-02-16,674.54
38,2017-02-17,818.29
39,2017-02-18,679.5
40,2017-02-19,94.57000000000001
41,2017-02-20,463.97
42,2017-02-21,551.24
43,2017-02-22,587.84
44,2017-02-23,468.89
45,2017-02-24,847.03
46,2017-02-25,537.9200000000001
47,2017-02-26,206.22
48,2017-02-27,970.53
49,2017-02-28,624.72
50,2017-03-01,2037.7200000000003
51,2017-03-02,374.19
52,2017-03-03,737.43
53,2017-03-04,668.6
54,2017-03-05,781.27
55,2017-03-06,622.8699999999999
56,2017-03-07,1436.8
57,2017-03-08,702.6
58,2017-03-09,1932.9299999999998
59,2017-03-10,622.9300000000001
60,2017-03-11,1631.81
61,2017-03-12,525.99
62,2017-03-13,945.06
63,2017-03-14,1203.3299999999997
64,2017-03-15,962.8900000000001
65,2017-03-16,1231.94
66,2017-03-17,791.9200000000001
67,2017-03-18,740.5899999999999
68,2017-03-19,271.9
69,2017-03-20,1073.27
70,2017-03-21,485.57000000000005
71,2017-03-22,2324.46
72,2017-03-23,1504.22
73,2017-03-24,1015.7300000000001
74,2017-03-25,218.65
75,2017-03-26,389.76
76,2017-03-27,1171.83
